States,Market,Type,Link
GA,"Fulton County, GA",Probates,https://www.fultoncourt.org/probate/
IL,"Cook County, IL",Probates,https://courtlink.cookcountyclerkofcourt.org/Search/SearchTypeU.aspx
PA,"Philadelphia County, PA",Probates,https://fjdefile.phila.gov/efsfjd/zk_fjd_public_qry_00.zp_main_idx
AZ,"Maricopa County, AZ",Probates,https://apps.superiorcourt.maricopa.gov/publicaccess/default.aspx
WA,"King County, WA",Probates,https://dja-prd-ecexap2.kingcounty.gov/Superior/Civil/search
MI,"Wayne County, MI",Probates,https://cmspublic.3rdcc.org/default.aspx
MO,"St. Louis County, MO",Probates,https://www.stlcountycourts.com/CaseNet/default.aspx
TN,"Shelby County, TN",Probates,https://www.shelbytnfis.com/webportal
NC,"Wake County, NC",Probates,https://www.wakegov.com/departments-government/wake-county-register-of-deeds
OR,"Multnomah County, OR",Probates,https://www.oregoncourts.gov/records/
CO,"Denver County, CO",Probates,https://www.courts.state.co.us/dockets/index.cfm
NV,"Clark County, NV",Probates,https://lvjcpa.clarkcountynv.gov/Anonymous/default.aspx
FL,"Broward County, FL",Foreclosures,https://broward.realforeclose.com/
FL,"Hillsborough County, FL",Foreclosures,https://hillsborough.realforeclose.com/
FL,"Orange County, FL",Foreclosures,https://orange.realforeclose.com/
FL,"Palm Beach County, FL",Foreclosures,https://palmbeach.realforeclose.com/
FL,"Duval County, FL",Foreclosures,https://duval.realforeclose.com/
FL,"Pinellas County, FL",Foreclosures,https://pinellas.realforeclose.com/
FL,"Polk County, FL",Foreclosures,https://polk.realforeclose.com/
FL,"Volusia County, FL",Foreclosures,https://volusia.realforeclose.com/
FL,"Osceola County, FL",Foreclosures,https://osceola.realforeclose.com/
FL,"Sarasota County, FL",Foreclosures,https://sarasota.realforeclose.com/
FL,"Collier County, FL",Foreclosures,https://collier.realforeclose.com/
FL,"Pasco County, FL",Foreclosures,https://pasco.realforeclose.com/
GA,Georgia,Foreclosures,https://www.foreclosureradar.com/foreclosures/GA
CA,"San Bernardino County, CA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.sbcounty.gov/assessor/wp-content/uploads/sites/7/2024/08/parcel-search.html
TX,"Travis County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://records.traviscountytx.gov/Public/Search.aspx
TX,"Bexar County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://bexar.tx.publicsearch.us/
